rank,slug,title_excel,title_remote,difficulty_excel,difficulty_remote,difficulty_local,difficulty_excel_matches_remote,number_remote,number_local,number_matches,link,expected_file,local_file,local_exists,status,metadata_status
16,container-with-most-water,"Container With Most Water, 盛最多水的容器",Container With Most Water,medium,medium,medium,True,11,0011,True,https://leetcode.cn/problems/container-with-most-water/,problems/medium/0011_container-with-most-water.py,problems/medium/0011_container-with-most-water.py,True,done,ok
17,daily-temperatures,"Daily Temperatures, 每日温度",Daily Temperatures,medium,medium,medium,True,739,0739,True,https://leetcode.cn/problems/daily-temperatures/,problems/medium/0739_daily-temperatures.py,problems/medium/0739_daily-temperatures.py,True,done,ok
18,fruit-into-baskets,"Fruit Into Baskets, 水果成篮",Fruit Into Baskets,medium,medium,medium,True,904,0904,True,https://leetcode.cn/problems/fruit-into-baskets/,problems/medium/0904_fruit-into-baskets.py,problems/medium/0904_fruit-into-baskets.py,True,done,ok
19,longest-increasing-subsequence,"Longest Increasing Subsequence, 最长递增子序列",Longest Increasing Subsequence,medium,medium,medium,True,300,0300,True,https://leetcode.cn/problems/longest-increasing-subsequence/,problems/medium/0300_longest-increasing-subsequence.py,problems/medium/0300_longest-increasing-subsequence.py,True,done,ok
20,maximum-subarray,"Maximum Subarray, 最大子数组和",Maximum Subarray,"medium,easy",medium,medium,True,53,0053,True,https://leetcode.cn/problems/maximum-subarray/,problems/medium/0053_maximum-subarray.py,problems/medium/0053_maximum-subarray.py,True,done,ok
21,merge-intervals,"Merge Intervals, 合并区间",Merge Intervals,medium,medium,medium,True,56,0056,True,https://leetcode.cn/problems/merge-intervals/,problems/medium/0056_merge-intervals.py,problems/medium/0056_merge-intervals.py,True,done,ok
22,merge-sorted-array,"Merge Sorted Array, 合并两个有序数组",Merge Sorted Array,easy,easy,easy,True,88,0088,True,https://leetcode.cn/problems/merge-sorted-array/,problems/easy/0088_merge-sorted-array.py,problems/easy/0088_merge-sorted-array.py,True,done,ok
23,min-stack,"Min Stack, 最小栈",Min Stack,medium,medium,medium,True,155,0155,True,https://leetcode.cn/problems/min-stack/,problems/medium/0155_min-stack.py,problems/medium/0155_min-stack.py,True,done,ok
24,palindrome-partitioning,"Palindrome Partitioning, 分割回文串",Palindrome Partitioning,medium,medium,medium,True,131,0131,True,https://leetcode.cn/problems/palindrome-partitioning/,problems/medium/0131_palindrome-partitioning.py,problems/medium/0131_palindrome-partitioning.py,True,done,ok
25,product-of-array-except-self,"Product of Array Except Self, 除了自身以外数组的乘积",Product of Array Except Self,medium,medium,medium,True,238,0238,True,https://leetcode.cn/problems/product-of-array-except-self/,problems/medium/0238_product-of-array-except-self.py,problems/medium/0238_product-of-array-except-self.py,True,done,ok
26,search-insert-position,"Search Insert Position, 搜索插入位置",Search Insert Position,easy,easy,easy,True,35,0035,True,https://leetcode.cn/problems/search-insert-position/,problems/easy/0035_search-insert-position.py,problems/easy/0035_search-insert-position.py,True,done,ok
27,subarray-sum-equals-k,"Subarray Sum Equals K, 和为 K 的子数组",Subarray Sum Equals K,medium,medium,medium,True,560,0560,True,https://leetcode.cn/problems/subarray-sum-equals-k/,problems/medium/0560_subarray-sum-equals-k.py,problems/medium/0560_subarray-sum-equals-k.py,True,done,ok
28,add-two-integers,"Add Two Integers, 两整数相加",Add Two Integers,easy,easy,easy,True,2235,2235,True,https://leetcode.cn/problems/add-two-integers/,problems/easy/2235_add-two-integers.py,problems/easy/2235_add-two-integers.py,True,done,ok
29,binary-tree-maximum-path-sum,"Binary Tree Maximum Path Sum, 二叉树中的最大路径和",Binary Tree Maximum Path Sum,hard,hard,hard,True,124,0124,True,https://leetcode.cn/problems/binary-tree-maximum-path-sum/,problems/hard/0124_binary-tree-maximum-path-sum.py,problems/hard/0124_binary-tree-maximum-path-sum.py,True,done,ok
30,binary-tree-zigzag-level-order-traversal,"Binary Tree Zigzag Level Order Traversal, 二叉树的锯齿形层序遍历",Binary Tree Zigzag Level Order Traversal,medium,medium,medium,True,103,0103,True,https://leetcode.cn/problems/binary-tree-zigzag-level-order-traversal/,problems/medium/0103_binary-tree-zigzag-level-order-traversal.py,problems/medium/0103_binary-tree-zigzag-level-order-traversal.py,True,done,ok
31,climbing-stairs,"Climbing Stairs, 爬楼梯",Climbing Stairs,easy,easy,easy,True,70,0070,True,https://leetcode.cn/problems/climbing-stairs/,problems/easy/0070_climbing-stairs.py,problems/easy/0070_climbing-stairs.py,True,done,ok
32,copy-list-with-random-pointer,"Copy List with Random Pointer, 随机链表的复制",Copy List with Random Pointer,medium,medium,medium,True,138,0138,True,https://leetcode.cn/problems/copy-list-with-random-pointer/,problems/medium/0138_copy-list-with-random-pointer.py,problems/medium/0138_copy-list-with-random-pointer.py,True,done,ok
33,design-linked-list,"Design Linked List, 设计链表",Design Linked List,medium,medium,medium,True,707,0707,True,https://leetcode.cn/problems/design-linked-list/,problems/medium/0707_design-linked-list.py,problems/medium/0707_design-linked-list.py,True,done,ok
34,generate-parentheses,"Generate Parentheses, 括号生成",Generate Parentheses,medium,medium,medium,True,22,0022,True,https://leetcode.cn/problems/generate-parentheses/,problems/medium/0022_generate-parentheses.py,problems/medium/0022_generate-parentheses.py,True,done,ok
35,kth-largest-element-in-an-array,"Kth Largest Element in an Array, 数组中的第 K 个最大元素",Kth Largest Element in an Array,medium,medium,medium,True,215,0215,True,https://leetcode.cn/problems/kth-largest-element-in-an-array/,problems/medium/0215_kth-largest-element-in-an-array.py,problems/medium/0215_kth-largest-element-in-an-array.py,True,done,ok
36,lru-cache,LRU Cache,LRU Cache,medium,medium,medium,True,146,0146,True,https://leetcode.cn/problems/lru-cache/,problems/medium/0146_lru-cache.py,problems/medium/0146_lru-cache.py,True,done,ok
37,maximum-depth-of-binary-tree,"Maximum Depth of Binary Tree, 二叉树的最大深度",Maximum Depth of Binary Tree,easy,easy,easy,True,104,0104,True,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,problems/easy/0104_maximum-depth-of-binary-tree.py,problems/easy/0104_maximum-depth-of-binary-tree.py,True,done,ok
38,maximum-length-of-repeated-subarray,"Maximum Length of Repeated Subarray, 最长重复子数组",Maximum Length of Repeated Subarray,medium,medium,medium,True,718,0718,True,https://leetcode.cn/problems/maximum-length-of-repeated-subarray/,problems/medium/0718_maximum-length-of-repeated-subarray.py,problems/medium/0718_maximum-length-of-repeated-subarray.py,True,done,ok
39,minimum-changes-to-make-alternating-binary-string,"Minimum Changes To Make Alternating Binary String, 生成交替二进制字符串的最少操作数",Minimum Changes To Make Alternating Binary String,easy,easy,easy,True,1758,1758,True,https://leetcode.cn/problems/minimum-changes-to-make-alternating-binary-string/,problems/easy/1758_minimum-changes-to-make-alternating-binary-string.py,problems/easy/1758_minimum-changes-to-make-alternating-binary-string.py,True,done,ok
40,minimum-size-subarray-sum,"Minimum Size Subarray Sum, 长度最小的子数组",Minimum Size Subarray Sum,medium,medium,medium,True,209,0209,True,https://leetcode.cn/problems/minimum-size-subarray-sum/,problems/medium/0209_minimum-size-subarray-sum.py,problems/medium/0209_minimum-size-subarray-sum.py,True,done,ok
41,multiply-strings,"Multiply Strings, 字符串相乘",Multiply Strings,medium,medium,medium,True,43,0043,True,https://leetcode.cn/problems/multiply-strings/,problems/medium/0043_multiply-strings.py,problems/medium/0043_multiply-strings.py,True,done,ok
42,next-permutation,"Next Permutation, 下一个排列",Next Permutation,medium,medium,medium,True,31,0031,True,https://leetcode.cn/problems/next-permutation/,problems/medium/0031_next-permutation.py,problems/medium/0031_next-permutation.py,True,done,ok
43,number-of-islands,"Number of Islands, 岛屿数量",Number of Islands,medium,medium,medium,True,200,0200,True,https://leetcode.cn/problems/number-of-islands/,problems/medium/0200_number-of-islands.py,problems/medium/0200_number-of-islands.py,True,done,ok
44,remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array, 删除有序数组中的重复项",Remove Duplicates from Sorted Array,easy,easy,easy,True,26,0026,True,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/,problems/easy/0026_remove-duplicates-from-sorted-array.py,problems/easy/0026_remove-duplicates-from-sorted-array.py,True,done,ok
45,reorder-list,Reorder List,Reorder List,medium,medium,medium,True,143,0143,True,https://leetcode.cn/problems/reorder-list/,problems/medium/0143_reorder-list.py,problems/medium/0143_reorder-list.py,True,done,ok
46,roman-to-integer,"Roman to Integer, 罗马数字转整数",Roman to Integer,easy,easy,easy,True,13,0013,True,https://leetcode.cn/problems/roman-to-integer/,problems/easy/0013_roman-to-integer.py,problems/easy/0013_roman-to-integer.py,True,done,ok
47,rotting-oranges,"Rotting Oranges, 腐烂的橘子",Rotting Oranges,medium,medium,medium,True,994,0994,True,https://leetcode.cn/problems/rotting-oranges/,problems/medium/0994_rotting-oranges.py,problems/medium/0994_rotting-oranges.py,True,done,ok
48,symmetric-tree,"Symmetric Tree, 对称二叉树",Symmetric Tree,easy,easy,easy,True,101,0101,True,https://leetcode.cn/problems/symmetric-tree/,problems/easy/0101_symmetric-tree.py,problems/easy/0101_symmetric-tree.py,True,done,ok
49,4sum,4Sum,4Sum,medium,medium,medium,True,18,0018,True,https://leetcode.cn/problems/4sum/,problems/medium/0018_4sum.py,problems/medium/0018_4sum.py,True,done,ok
50,best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock, 买卖股票的最佳时机",Best Time to Buy and Sell Stock,easy,easy,easy,True,121,0121,True,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/,problems/easy/0121_best-time-to-buy-and-sell-stock.py,problems/easy/0121_best-time-to-buy-and-sell-stock.py,True,done,ok
